Date	Cost
2012-06-25	10090000
2012-06-26	10100000
2012-06-27	10194000
2012-06-28	10290000
2012-06-29	10550000
2012-06-30	10640000
2012-07-01	10575000
2012-07-02	10550000
2012-07-03	10640000
2012-07-04	10700000
2012-07-05	10670000
2012-07-06	10560000
2012-07-07	10510000
2012-07-08	10580000
2012-07-09	10500001
2012-07-10	10500000
2012-07-11	10444444
2012-07-12	10488000
2012-07-13	10415000
2012-07-14	10350000
2012-07-15	10400000
2012-07-16	10400000
2012-07-17	10474000
2012-07-18	10525000
2012-07-19	10450000
2012-07-20	10424000
2012-07-22	10660000
2012-07-23	10550000
2012-07-24	10600000
2012-07-25	10750000
2012-07-26	10845000
2012-07-27	10850000
2012-07-28	10900000
2012-07-29	10850000
2012-07-30	10875000
2012-07-31	11200000
2012-08-01	11000000
2012-08-02	11175000
2012-08-03	11220000
2012-08-04	10700000
2012-08-05	10400000
2012-08-06	10400000
2012-08-07	10395000
2012-08-08	10399999
2012-08-09	10450000
2012-08-10	10500000
2012-08-11	10450000
2012-08-12	10650000
2012-08-13	10649000
2012-08-14	10620000
2012-08-15	10550000
2012-08-16	10950000
2012-08-17	10900000
2012-08-18	10900000
2012-08-19	10845000
2012-08-20	10998000
2012-08-21	10950000
2012-08-22	11300000
2012-08-23	11150000
2012-08-24	11100000
2012-08-25	11000000
2012-08-26	11200000
2012-09-10	10800000
2012-09-11	10775000
2012-09-12	10750000
2012-09-13	10745000
2012-09-14	10750000
2012-09-15	10695000
2012-09-16	10700000
2012-09-17	10790000
2012-09-18	10795000
2012-09-19	11000000
2012-09-20	11075075
2012-09-21	11175000
2012-09-22	11145000
2012-09-23	11190000
2012-09-24	11150000
2012-09-25	11150000
2012-09-26	11140000
2012-09-27	11140000
2012-09-28	11140000
2012-09-29	11199000
2012-09-30	11175000
2012-10-01	11190000
2012-10-02	11145000
2012-10-03	11153000
2012-10-04	11140000
2012-10-05	11139000
2012-10-06	11139999
2012-10-07	11120000
2012-10-08	11174999
2012-10-09	11170000
2012-10-10	11190000
2012-10-11	11474999
2012-10-13	11470000
2012-10-14	11490000
2012-10-15	11490000
2012-10-16	11689999
2012-10-17	11799000
2012-10-18	11750000
2012-10-19	12750000
2012-10-20	12300000
2012-10-21	12100000
2012-10-22	12199998
2012-10-23	12200000
2012-10-24	12250000
2012-10-25	12198000
2012-10-26	11975000
2012-10-27	11900000
2012-10-28	11800000
2012-10-29	11640000
2012-10-30	11725000
2012-10-31	11995000
2012-11-01	11995000
2012-11-02	11700000
2012-11-03	11770000
2012-11-04	11759000
2012-11-05	11720000
2012-11-06	11690000
2012-11-07	11619000
2012-11-08	11900000
2012-11-09	11860000
2012-11-10	11800000
2012-11-11	11720000
2012-11-12	11773000
2012-11-13	11720000
2012-11-14	11784999
2012-11-15	12900000
2012-11-17	11935000
2012-11-18	11790000
2012-11-19	11885000
2012-11-20	11828000
2012-11-21	11849000
2012-11-22	11750000
2012-11-23	11800000
2012-11-24	11775000
2012-11-25	11700000
2012-11-26	11775000
2012-11-27	11774000
2012-11-28	11794500
2012-11-29	11799999
2012-11-30	11786980
2012-12-01	11800000
2012-12-02	11999000
2012-12-03	11799950
2012-12-04	11773999
2012-12-05	11599999
2012-12-06	11625000
2012-12-07	11749998
2012-12-08	11650000
2012-12-09	11800000
2012-12-10	11600000
2012-12-12	11500000
2012-12-13	11550000
2012-12-14	11470000
2012-12-15	11300000
2012-12-16	11200000
2012-12-17	11340000
2012-12-18	11300000
2012-12-19	11250000
2012-12-20	11200000
2012-12-21	11246999
2012-12-22	11294999
2012-12-23	11265265
2012-12-24	11299990
2012-12-25	11295000
2012-12-26	11200000
2012-12-27	11395000
2012-12-31	11645000
2013-01-01	11900777
2013-01-02	11880000
2013-01-03	11750000
2013-01-04	11450000
2013-01-06	11750000
