Month,Day,Time,Quantity,Cost
Jul,1,12.4333333333,97,19825000.0
Jul,2,12.4333333333,116,19750000.0
Jul,3,12.4333333333,163,19898200.0
Jul,4,12.4333333333,105,20335900.0
Jul,5,12.4333333333,212,20000000.0
Jul,6,12.4333333333,145,19300000.0
Jul,7,12.4333333333,95,19900000.0
Jul,8,12.4333333333,68,19800000.0
Jul,9,12.4333333333,54,19850000.0
Jul,10,12.4333333333,52,19844100.0
Jul,11,12.4333333333,34,19864500.0
Jul,12,12.4333333333,54,19890000.0
Jul,13,12.4333333333,45,19919000.0
Jul,14,12.4333333333,153,19938300.0
Jul,15,12.4333333333,55,20000000.0
Jul,16,12.4333333333,160,19750000.0
Jul,17,12.4333333333,168,19488800.0
Jul,18,12.4333333333,68,19771400.0
Jul,19,12.4333333333,120,19900000.0
Jul,20,12.4333333333,144,19750000.0
Jul,21,12.4333333333,89,19800000.0
Jul,22,12.4333333333,129,19725000.0
Jul,23,12.4333333333,116,19829300.0
Jul,24,12.4333333333,70,20000000.0
Jul,25,12.4333333333,107,20000000.0
Jul,26,12.4333333333,133,20000000.0
Jul,27,12.4333333333,122,20112200.0
Jul,28,12.4333333333,68,20047800.0
Jul,29,12.4333333333,83,20178900.0
Jul,30,12.4333333333,132,20214400.0
Jul,31,12.4333333333,145,20200000.0
Aug,1,12.4333333333,60,20344000.0
Aug,2,12.4333333333,87,20450000.0
Aug,3,12.4333333333,152,20994600.0
Aug,4,12.4333333333,75,21875000.0
Aug,5,12.4333333333,65,20641200.0
Aug,6,12.4333333333,72,20557000.0
Aug,7,12.4333333333,100,20558100.0
Aug,8,12.4333333333,77,20575000.0
Aug,9,12.4333333333,87,20605900.0
Aug,10,12.4333333333,62,20934200.0
Aug,11,12.4333333333,75,20766500.0
Aug,12,12.4333333333,69,21064000.0
Aug,13,12.4333333333,156,21886600.0
Aug,14,12.4333333333,59,22035100.0
Aug,15,12.4333333333,62,22000000.0
Aug,16,12.4333333333,86,22353400.0
Aug,17,12.4333333333,78,21769900.0
Aug,18,12.4333333333,126,21806900.0
Aug,19,12.4333333333,51,21950500.0
Aug,20,12.4333333333,52,22014700.0
Aug,21,12.4333333333,70,22358000.0
Aug,22,12.4333333333,85,22593700.0
Aug,23,12.4333333333,92,22500000.0
Aug,24,12.4333333333,85,22200000.0
Aug,25,12.4333333333,55,22299300.0
Aug,26,12.4333333333,90,22350000.0
Aug,27,12.4333333333,65,22200000.0
Aug,28,12.4333333333,53,22393600.0
Aug,29,12.4333333333,86,22300000.0
Aug,30,12.4333333333,57,22497400.0
Aug,31,12.4333333333,127,22700000.0
Sep,1,12.4333333333,62,23477000.0
Sep,2,12.4333333333,94,23525000.0
Sep,3,12.4333333333,71,23600000.0
